t (s),V (mV)
0,17.0534
1.05,17.02
2.053,16.9889
3.053,16.9121
4.053,16.9014
5.053,16.8696
6.053,16.8268
7.053,16.7869
8.053,16.7483
9.053,16.7074
10.053,16.6652
11.052,16.6034
12.052,16.5697
13.052,16.5266
14.052,16.4881
15.053,16.4555
16.052,16.4098
17.052,16.3742
18.052,16.3342
19.052,16.2968
20.053,16.2558
21.053,16.2156
22.052,16.175
23.052,16.1242
24.052,16.0943
25.053,16.0486
26.053,16.0027
27.053,15.9644
28.052,15.9222
29.052,15.8817
30.053,15.8448
31.052,15.8026
32.053,15.7636
33.053,15.7255
34.053,15.6829
35.053,15.6428
36.052,15.6032
37.052,15.5607
38.052,15.5202
39.052,15.4829
40.052,15.4441
41.052,15.4035
42.053,15.3661
43.053,15.3277
44.053,15.2914
45.053,15.2547
46.053,15.2113
47.053,15.1747
48.052,15.1334
49.052,15.0797
50.052,15.0472
51.053,15.0128
52.053,14.9779
53.053,14.933
54.053,14.902
55.052,14.865
56.052,14.8261
57.052,14.7919
58.052,14.7492
59.053,14.71
60.052,14.6718
61.052,14.6354
62.053,14.5987
63.053,14.5668
64.052,14.5298
65.052,14.4912
66.052,14.4552
67.053,14.4192
68.053,14.383
69.052,14.3485
70.052,14.3138
71.053,14.281
72.053,14.241
73.053,14.2023
74.053,14.1672
75.052,14.1364
76.052,14.0937
77.053,14.0613
78.053,14.0237
79.053,13.9937
80.052,13.9581
81.052,13.9223
82.052,13.8857
83.053,13.8471
84.053,13.816
85.053,13.7788
86.052,13.748
87.052,13.709
88.053,13.6655
89.052,13.6365
90.052,13.5494
91.053,13.5612
92.052,13.5376
93.052,13.5062
94.053,13.4661
95.053,13.4325
96.052,13.4005
97.052,13.3651
98.053,13.3335
99.052,13.2967
100.052,13.2693
101.053,13.2341
102.052,13.2029
103.052,13.1688
104.052,13.1409
105.053,13.1056
106.052,13.0727
107.052,13.0401
108.053,13.0056
109.052,12.9757
110.052,12.9422
111.053,12.9122
112.053,12.8814
113.052,12.8476
114.053,12.815
115.052,12.7818
116.053,12.7507
117.053,12.6488
118.052,12.6894
119.053,12.6617
120.052,12.631
121.053,12.5963
122.053,12.5641
123.052,12.5342
124.053,12.5025
125.052,12.472
126.053,12.448
127.053,12.4121
128.053,12.3811
129.052,12.3536
130.053,12.3193
131.053,12.2876
132.053,12.2588
133.052,12.236
134.053,12.2036
135.052,12.1719
136.052,12.1419
137.052,12.1171
138.053,12.0867
139.052,12.0468
140.052,12.0236
141.052,11.9929
142.053,11.9635
143.052,11.9362
144.052,11.9044
145.053,11.8785
146.053,11.8463
147.052,11.8177
148.053,11.789
149.052,11.7556
150.053,11.7304
151.052,11.7049
152.052,11.6721
153.053,11.6474
154.052,11.6235
155.053,11.584
156.053,11.5613
157.052,11.5369
158.052,11.5108
159.053,11.4809
160.052,11.4493
161.052,11.4201
162.053,11.392
163.052,11.3686
164.052,11.3406
165.053,11.313
166.053,11.2835
167.052,11.2477
168.053,11.2278
169.052,11.2018
170.053,11.1756
171.052,11.1454
172.052,11.1191
173.052,11.0946
174.052,11.0611
175.053,11.0374
176.052,11.0077
177.053,10.9848
178.053,10.9612
179.053,10.9335
180.053,10.9013
181.053,10.8812
182.052,10.8564
183.053,10.8268
184.053,10.7991
185.053,10.7706
186.052,10.7403
187.052,10.7166
188.053,10.6911
189.052,10.6636
190.052,10.6406
191.052,10.6114
192.051,10.5886
193.051,10.5622
194.051,10.5383
195.051,10.5121
196.051,10.4818
197.052,10.4566
198.051,10.4351
199.051,10.406
200.052,10.3838
201.051,10.3557
202.052,10.3309
203.052,10.3091
204.051,10.281
205.051,10.257
206.052,10.2333
207.051,10.2006
208.051,10.1819
209.051,10.1574
210.052,10.1302
211.052,10.1068
212.051,10.0822
213.052,10.0567
214.052,10.0331
215.052,10.0069
216.053,9.9461
217.052,9.9584
218.052,9.9348
219.052,9.9159
220.053,9.8887
221.053,9.8598
222.052,9.8369
223.052,9.8116
224.052,9.7931
225.053,9.7722
226.052,9.7416
227.052,9.7207
228.052,9.6975
229.052,9.6724
230.052,9.6554
231.053,9.6294
232.053,9.6077
233.052,9.5833
234.052,9.5609
235.052,9.5397
236.052,9.5166
237.052,9.4933
238.053,9.4497
239.053,9.442
240.053,9.4229
241.052,9.4009
242.053,9.3796
243.052,9.3549
244.052,9.3276
245.052,9.307
246.052,9.2825
247.053,9.2589
248.052,9.2367
249.052,9.2174
250.052,9.1973
251.052,9.1752
252.053,9.149
253.053,9.1265
254.052,9.1049
255.053,9.0892
256.052,9.0667
257.053,9.0446
258.052,9.0207
259.052,8.9962
260.053,8.9757
261.052,8.952
262.052,8.9303
263.052,8.908
264.053,8.8879
265.052,8.8629
266.053,8.8405
267.052,8.8199
268.053,8.8041
269.052,8.7866
270.053,8.7595
271.053,8.7377
272.052,8.716
273.052,8.6974
274.053,8.678
275.052,8.6587
276.053,8.6346
277.052,8.6132
278.052,8.5978
279.053,8.5778
280.052,8.5593
281.052,8.5333
282.053,8.5148
283.052,8.4946
284.052,8.4698
285.052,8.4492
286.053,8.4292
287.053,8.4088
