t (s),V (mV)
0,19.5048
0.973,19.4701
1.918,19.4378
2.916,19.4026
3.917,19.3681
4.917,19.332
5.917,19.2975
6.916,19.2627
7.916,19.2275
8.916,19.193
9.916,19.1587
10.917,19.1257
11.917,19.092
12.916,19.0593
13.916,19.0262
14.917,18.9951
15.916,18.9632
16.917,18.9322
17.916,18.9014
18.917,18.8714
19.917,18.841
20.916,18.8115
21.917,18.7818
22.916,18.7515
23.917,18.7221
24.917,18.6935
25.916,18.665
26.916,18.6353
27.917,18.6065
28.916,18.5781
29.917,18.5503
30.916,18.5219
31.917,18.4945
32.917,18.467
33.916,18.4395
34.917,18.4122
35.916,18.3857
36.916,18.3589
37.917,18.3323
38.916,18.3047
39.916,18.279
40.916,18.2536
41.916,18.2276
42.916,18.2009
43.916,18.1746
44.916,18.1489
45.916,18.1228
46.916,18.0968
47.916,18.0717
48.917,18.0451
49.916,18.0206
50.917,17.9943
51.916,17.9692
52.916,17.9441
53.917,17.9182
54.917,17.8935
55.916,17.8692
56.917,17.8443
57.917,17.8193
58.916,17.7929
59.916,17.7692
60.919,17.7436
61.916,17.7199
62.916,17.6961
63.917,17.6715
64.916,17.6467
65.916,17.6229
66.916,17.5984
67.916,17.5755
68.917,17.551
69.916,17.5275
70.917,17.5038
71.917,17.4798
72.917,17.4573
73.917,17.4328
74.916,17.4095
75.917,17.3863
76.917,17.3628
77.916,17.3401
78.917,17.3171
79.917,17.2943
80.916,17.2706
81.916,17.2482
82.917,17.2245
83.916,17.2017
84.916,17.1788
85.916,17.1556
86.917,17.1328
87.916,17.1099
88.917,17.0874
89.917,17.0648
90.916,17.0414
91.916,17.0194
92.916,16.9965
93.916,16.9735
94.916,16.9523
95.916,16.9294
96.916,16.9074
97.916,16.8851
98.917,16.8642
99.916,16.8424
100.916,16.8201
101.916,16.7977
102.916,16.7762
103.916,16.7546
104.916,16.7324
105.916,16.7105
106.916,16.6884
107.916,16.6663
108.916,16.6441
109.916,16.6395
110.916,16.621
111.917,16.5985
112.917,16.5763
113.917,16.5548
114.917,16.5331
115.916,16.5105
116.916,16.4888
117.917,16.4576
118.916,16.4293
119.916,16.407
120.917,16.3853
121.919,16.3616
122.916,16.3422
123.916,16.3213
124.917,16.2991
125.917,16.2788
126.917,16.2568
127.916,16.2358
128.917,16.2142
129.916,16.1938
130.916,16.1724
131.917,16.151
132.917,16.1302
133.916,16.1095
134.916,16.088
135.916,16.0673
136.916,16.0461
137.917,16.0255
138.916,16.0049
139.916,15.9847
140.916,15.9634
141.917,15.9421
142.917,15.9216
143.917,15.9011
144.916,15.8803
145.916,15.8599
146.916,15.8394
147.917,15.818
148.917,15.7982
149.916,15.7771
150.916,15.7571
151.917,15.7363
152.916,15.716
153.916,15.6964
154.916,15.6758
155.917,15.6558
156.917,15.6355
157.917,15.6158
158.916,15.5939
159.916,15.5854
160.916,15.5662
161.917,15.5462
162.917,15.5265
163.917,15.5072
164.917,15.4871
165.916,15.4665
166.916,15.4473
167.916,15.4277
168.917,15.4088
169.917,15.3898
170.917,15.3681
171.916,15.3504
172.916,15.3333
173.916,15.3131
174.917,15.2567
175.917,15.2705
176.916,15.2583
177.916,15.2397
178.916,15.2205
179.916,15.2011
180.916,15.181
181.917,15.1614
182.917,15.142
183.916,15.1225
184.916,15.1037
185.916,15.0835
186.916,15.064
187.916,15.0456
188.917,15.021
189.917,15.0114
190.916,14.9926
191.916,14.9737
192.916,14.9544
193.916,14.9348
194.917,14.9144
195.917,14.8952
196.916,14.8763
197.916,14.8569
198.916,14.8389
199.917,14.8184
200.916,14.7994
201.916,14.7812
202.917,14.7615
203.916,14.7425
204.916,14.7241
205.917,14.7046
206.917,14.6862
207.917,14.6675
208.917,14.6496
209.917,14.6308
210.916,14.6124
211.916,14.5939
212.916,14.5753
213.916,14.5569
214.916,14.5392
215.916,14.5209
216.916,14.503
217.916,14.4847
218.917,14.466
219.917,14.448
220.916,14.4296
221.916,14.4126
222.916,14.3938
223.916,14.3766
224.916,14.3434
225.916,14.3255
226.916,14.3129
227.916,14.2952
228.916,14.2777
229.916,14.26
230.917,14.2404
231.916,14.2235
232.917,14.2062
233.917,14.1893
234.917,14.171
235.917,14.1543
236.917,14.1364
237.917,14.1185
238.917,14.1013
239.916,14.0838
240.916,14.066
241.917,14.0482
242.916,14.0378
243.916,14.0238
244.916,14.0062
245.917,13.9799
246.917,13.9629
247.917,13.9492
248.916,13.9287
249.916,13.9112
250.916,13.8941
251.916,13.8772
252.916,13.86
253.916,13.8435
254.917,13.8271
255.917,13.8093
256.917,13.7923
257.916,13.7744
258.916,13.7569
259.917,13.7408
260.917,13.7239
261.916,13.7065
262.916,13.69
263.916,13.6729
264.917,13.6565
265.917,13.6401
266.916,13.6231
267.916,13.6061
268.916,13.5896
269.917,13.5728
270.917,13.5568
271.917,13.5401
272.917,13.5236
273.917,13.5055
274.916,13.4895
275.916,13.4725
276.916,13.4553
277.917,13.4398
278.916,13.423
279.917,13.406
280.916,13.3895
281.916,13.3738
282.916,13.3567
283.916,13.3405
284.916,13.3256
285.916,13.3074
286.916,13.2899
287.916,13.2738
288.916,13.2573
289.917,13.241
290.916,13.2235
291.916,13.2079
292.917,13.1911
293.916,13.1752
294.917,13.15
295.917,13.1428
296.916,13.1264
297.916,13.1094
298.916,13.0933
299.916,13.0771
300.916,13.0611
301.917,13.0456
302.917,13.0293
303.917,13.0136
304.917,12.9973
305.917,12.981
306.916,12.9649
307.916,12.9601
308.916,12.9446
309.916,12.9286
310.916,12.913
311.916,12.8966
312.917,12.8812
313.917,12.8654
314.916,12.851
315.916,12.8357
316.917,12.8203
317.917,12.8041
318.916,12.7897
319.916,12.7735
320.916,12.7579
321.916,12.7429
322.916,12.7275
323.916,12.7122
324.916,12.6972
325.916,12.6819
326.916,12.6665
327.917,12.6513
328.916,12.6367
329.916,12.6171
330.916,12.6036
331.917,12.5868
332.917,12.5711
333.916,12.5562
334.916,12.5408
335.916,12.5263
336.916,12.5107
337.916,12.4954
338.916,12.4802
339.916,12.4643
340.916,12.45
341.917,12.435
342.917,12.4194
343.917,12.4047
344.916,12.3896
345.916,12.3749
346.916,12.3594
347.917,12.3445
348.916,12.3294
349.916,12.3142
350.916,12.2995
351.916,12.2847
352.917,12.2697
353.917,12.2546
354.916,12.2398
355.917,12.2251
356.916,12.2097
357.917,12.1951
358.916,12.1797
359.917,12.1655
360.917,12.1504
361.917,12.1353
362.916,12.1207
363.916,12.1056
364.916,12.091
365.917,12.0759
366.916,12.0609
367.916,12.046
368.917,12.0312
369.917,12.0171
370.917,12.0018
371.916,11.9863
372.916,11.9723
373.916,11.8883
374.916,11.9435
