t (s),V (mV)
375.917,11.9319
376.916,11.9167
377.916,11.9028
378.916,11.8869
379.917,11.8742
380.916,11.8593
381.916,11.8455
382.917,11.831
383.917,11.8174
384.916,11.8035
385.917,11.7901
386.916,11.7749
387.916,11.7611
388.916,11.7463
389.916,11.7321
390.917,11.7226
391.917,11.7047
392.916,11.6899
393.916,11.6759
394.916,11.6611
395.916,11.6479
396.916,11.6335
397.917,11.6206
398.916,11.608
399.917,11.5928
400.916,11.5783
401.916,11.5636
402.916,11.5499
403.917,11.536
404.916,11.5209
405.916,11.5086
406.916,11.4935
407.916,11.4801
408.916,11.4662
409.917,11.4523
410.916,11.4377
411.916,11.4234
412.917,11.4109
413.916,11.3974
414.916,11.3843
415.917,11.3707
416.916,11.3572
417.916,11.3425
418.916,11.3296
419.916,11.3162
420.917,11.3051
421.916,11.2908
422.917,11.2776
423.916,11.2637
424.917,11.2512
425.916,11.2374
426.919,11.2243
427.916,11.2111
428.917,11.1978
429.917,11.1851
430.916,11.1713
431.916,11.1578
432.916,11.1442
433.917,11.1307
434.916,11.116
435.917,11.1032
436.916,11.0897
437.916,11.0755
438.917,11.0621
439.917,11.0385
440.916,11.0342
441.917,11.02
442.916,11.0072
443.916,10.994
444.917,10.9793
445.916,10.9656
446.916,10.9518
447.917,10.938
448.917,10.9245
449.917,10.9116
450.916,10.8984
451.916,10.8857
452.917,10.8728
453.916,10.8594
454.917,10.8469
455.916,10.8335
456.917,10.8213
457.916,10.8078
458.917,10.7953
459.916,10.783
460.916,10.7698
461.916,10.757
462.917,10.7443
463.917,10.7321
464.916,10.7186
465.917,10.7058
466.917,10.6935
467.916,10.6813
468.917,10.6694
469.916,10.6564
470.917,10.6435
471.916,10.6307
472.916,10.6184
473.916,10.6056
474.916,10.5932
475.915,10.5806
476.915,10.5678
477.915,10.5554
478.915,10.5426
479.916,10.5299
480.915,10.5174
481.916,10.5047
482.916,10.4922
483.915,10.4797
484.915,10.4667
485.916,10.4537
486.915,10.4418
487.916,10.429
488.916,10.4161
489.915,10.4045
490.915,10.3922
491.915,10.3791
492.916,10.3658
493.915,10.3536
494.915,10.3407
495.915,10.3285
496.916,10.3046
497.915,10.3038
498.915,10.2436
499.915,10.2797
500.916,10.267
501.915,10.255
502.916,10.2427
503.915,10.2302
504.915,10.2177
505.915,10.205
506.916,10.1923
507.915,10.1806
508.915,10.1675
509.916,10.1555
510.915,10.1287
511.915,10.1295
512.915,10.1167
513.916,10.1049
514.915,10.0927
515.916,10.0804
516.915,10.0691
517.915,10.0566
518.915,10.0456
519.916,10.0339
520.915,10.0207
521.915,10.0101
522.916,9.9987
523.917,9.9884
524.917,9.9763
525.916,9.9647
526.916,9.9538
527.916,9.9418
528.916,9.8088
529.916,9.9135
530.916,9.9056
531.917,9.8947
532.916,9.8825
533.917,9.8715
534.917,9.8606
535.916,9.8485
536.917,9.8366
537.916,9.8248
538.916,9.8131
539.916,9.8013
540.917,9.7899
541.916,9.7784
542.917,9.7674
543.916,9.7535
544.916,9.7427
