t (s),V (mV)
0,18.2909
1.029,18.2487
2.029,18.2185
3.029,18.1841
4.029,18.1477
5.029,18.1134
6.03,18.0805
7.029,18.0447
8.029,18.0109
9.03,17.9766
10.029,17.9419
11.03,17.9081
12.03,17.8735
13.03,17.8368
14.029,17.8033
15.03,17.7696
16.029,17.739
17.029,17.7045
18.029,17.6718
19.029,17.6381
20.03,17.605
21.03,17.5738
22.03,17.5508
23.03,17.5206
24.029,17.4866
25.029,17.4537
26.029,17.4222
27.03,17.3916
28.03,17.3596
29.029,17.3281
30.029,17.2961
31.03,17.2644
32.029,17.2337
33.03,17.2021
34.029,17.1722
35.029,17.1312
36.029,17.1079
37.03,17.0853
38.03,17.0568
39.03,17.0269
40.029,16.971
41.029,16.9587
42.029,16.9298
43.03,16.9025
44.03,16.8703
45.029,16.8394
46.029,16.8088
47.029,16.7799
48.03,16.7518
49.029,16.722
50.029,16.692
51.029,16.6624
52.029,16.6343
53.03,16.6049
54.03,16.5757
55.029,16.5457
56.029,16.5188
57.029,16.4883
58.029,16.4589
59.029,16.4319
60.029,16.4033
61.029,16.3751
62.03,16.3468
63.03,16.3168
64.029,16.2891
65.029,16.2608
66.03,16.2331
67.03,16.2051
68.029,16.1758
69.029,16.1481
70.029,16.1195
71.029,16.0929
72.029,16.0665
73.029,16.0377
74.029,16.0079
75.029,15.981
76.029,15.9521
77.029,15.926
78.029,15.8984
79.029,15.8733
80.03,15.8527
81.03,15.8296
82.029,15.8006
83.029,15.7727
84.03,15.7318
85.03,15.7136
86.03,15.6908
87.03,15.6625
88.029,15.6342
89.029,15.6093
90.03,15.5827
91.03,15.5385
92.029,15.5245
93.029,15.5018
94.03,15.4779
95.03,15.452
96.03,15.4244
97.029,15.397
98.03,15.3723
99.029,15.3459
100.03,15.3203
101.029,15.2951
102.03,15.2699
103.029,15.2447
104.03,15.2054
105.029,15.1877
106.03,15.1632
107.029,15.1393
108.029,15.1123
109.03,15.0885
110.029,15.0635
111.029,15.037
112.029,15.0108
113.029,14.9842
114.03,14.9597
115.029,14.9354
116.03,14.9098
117.03,14.8841
118.029,14.8571
119.029,14.8319
120.029,14.812
121.029,14.791
122.029,14.7644
123.029,14.7405
124.029,14.7152
125.03,14.6888
126.03,14.666
127.029,14.6411
128.029,14.6141
129.03,14.5893
130.029,14.5654
131.029,14.5433
132.03,14.5172
133.03,14.4917
134.029,14.466
135.029,14.443
136.029,14.4181
137.029,14.393
138.029,14.369
139.029,14.3425
140.03,14.3208
141.029,14.2946
142.029,14.2725
143.03,14.2479
144.029,14.2265
145.03,14.2003
146.029,14.1741
147.029,14.1528
148.03,14.1297
149.029,14.1064
150.03,14.0843
151.029,14.0623
152.029,14.0386
153.03,14.0131
154.029,13.9901
155.03,13.9682
156.03,13.9469
157.029,13.9234
158.029,13.9005
159.029,13.8765
160.029,13.8547
161.029,13.8321
162.03,13.8104
163.029,13.7773
164.029,13.7555
165.029,13.7334
